SKU,GRUPPO,TITOLO_VECCHIO,TITOLO_NUOVO,NOTA
FAN1076142,ZOOM,TINTURA PER CAPELLI 100ML COLORZOOM 10 MINUTI 4.71 CASTANO MARRONE FREDDO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 4.71 CASTANO MARRONE FREDDO,
FAN1076141,ZOOM,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 8.01 BIONDO CHIARO NAT.LE CENERE-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 8.01 BIONDO CHIARO NATURALE CENERE,
FAN1076140,ZOOM,TINTURA CAPELLI 100ML COLORZOOM 10MINUTI 6.01 BIONDO SCURO NAT.LE CENERE FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 6.01 BIONDO SCURO NATURALE CENERE,
FAN1076139,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 10.0 BIONDO PLATINO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 10.0 BIONDO PLATINO,
FAN1076138,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 9.0 BIONDO CH.MO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 9.0 BIONDO CHIARISSIMO,
FAN1076137,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 8.0 BIONDO CHIARO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 8.0 BIONDO CHIARO,
FAN1076136,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 7.0 BIONDO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 7.0 BIONDO,
FAN1076135,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 6.0 BIONDO SCURO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 6.0 BIONDO SCURO,
FAN1076134,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 5.0 CASTANO CHIARO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 5.0 CASTANO CHIARO,
FAN1076133,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 4.0 CASTANO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 4.0 CASTANO,
FAN1076132,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 3.0 CASTANO SCURO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 3.0 CASTANO SCURO,
FAN1076131,ZOOM,CREMA COLORE PER CAPELLI 100 ML COLORZOOM 10 MINUTI 1.0 NERO-FANOLA,CREMA COLORE CAPELLI 100 ML 10MINUTI 1.0 NERO,
